District code,Population,Male,Female,Literate,Households_with_Internet,State,District,Latitude,Longitude,Sex Ratio per 1000 males,Literacy Rate
4,140802,77785,63017,86236,235,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,810.14,61.25
5,476835,251899,224936,261724,346,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,892.96,54.89
7,616435,326109,290326,389204,1443,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,890.27,63.14
10,1236829,651124,585705,748584,16413,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,899.53,60.52
12,560440,293064,267376,293958,1537,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,912.35,52.45
16,409936,213641,196295,219083,596,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,918.81,53.44
19,554985,296784,258201,322354,1214,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,870.0,58.08
21,1529958,813821,716137,1137135,19905,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,879.97,74.32
23,519080,261320,257760,323842,1615,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,986.38,62.39
24,1510075,750591,759484,1152640,8053,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1011.85,76.33
26,437903,225452,212451,307672,2623,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,942.33,70.26
27,999777,498065,501712,723747,5333,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,1007.32,72.39
28,454768,217070,237698,358091,2521,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1095.03,78.74
28,454768,217070,237698,358091,2521,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,1095.03,78.74
29,521173,263692,257481,399715,2412,Himachal Pradesh,Una,31.58330388349513,76.18353932038836,976.45,76.7
30,381956,192764,189192,287620,1574,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,981.47,75.3
30,381956,192764,189192,287620,1574,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,981.47,75.3
31,580320,308754,271566,428578,5250,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,879.55,73.85
32,529855,276289,253566,362645,2220,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,917.76,68.44
33,814010,425039,388971,612642,9177,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,915.14,75.26
34,84121,46249,37872,60699,354,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,818.87,72.16
35,2298323,1212617,1085706,1634719,14428,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,895.34,71.13
36,815168,426311,388857,576567,9732,Punjab,Kapurthala,31.336592638036837,75.47641165644177,912.14,70.73
37,2193590,1145211,1048379,1622537,39082,Punjab,Jalandhar,31.250336907216507,75.54400350515463,915.45,73.97
38,1586625,809057,777568,1199699,13747,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,961.08,75.61
40,600163,320795,279368,426033,5138,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,870.86,70.99
41,3498739,1867816,1630923,2560225,58589,Punjab,Ludhiana,30.76596397379912,75.83110851528383,873.17,73.18
42,995746,525920,469826,627889,7897,Punjab,Moga,30.756540067340065,75.1600845117845,893.34,63.06
43,2029074,1071637,957437,1227511,10042,Punjab,Firozpur,30.63407535211269,74.40245732394365,893.43,60.5
44,901896,475622,426274,524848,4571,Punjab,Muktsar,30.31243303303303,74.5518747747748,896.25,58.19
45,617508,326671,290837,381285,4348,Punjab,Faridkot,30.591187250996025,74.79751553784862,890.31,61.75
46,1388525,743197,645328,844868,11284,Punjab,Bathinda,30.190524611973352,75.05685898004438,868.31,60.85
47,769751,408732,361019,423560,2673,Punjab,Mansa,29.919547714285724,75.4304922857143,883.27,55.03
48,1895686,1002522,893164,1266791,24274,Punjab,Patiala,30.214540380693364,76.27505893949697,890.92,66.82
49,2490656,1318408,1172248,1684770,29961,Punjab,Amritsar,31.548679820627772,74.79883856502238,889.14,67.64
51,684627,357485,327142,502731,6600,Punjab,Rupnagar,30.910937330754347,76.53743500967126,915.12,73.43
53,1655169,878029,777140,1002077,10736,Punjab,Sangrur,30.185045204336895,75.89437014178496,885.1,60.54
55,1055450,580663,474787,805438,44283,Chandigarh,Chandigarh,30.7426,76.75872465753424,817.66,76.31
56,330086,168597,161489,215126,602,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,957.84,65.17
57,391605,193991,197614,280556,899,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,1018.68,71.64
59,618931,297986,320945,407994,1366,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,1077.05,65.92
62,483439,239306,244133,345550,1344,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,1020.17,71.48
63,259898,124326,135572,179483,435,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,1090.46,69.06
64,622506,291081,331425,436497,1830,Uttaranchal,Almora,29.683532133676103,79.50165064267351,1138.6,70.12
65,259648,131125,128523,177726,548,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,980.16,68.45
67,1648902,858783,790119,1037839,7883,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,920.04,62.94
69,561293,299679,261614,405318,18615,Haryana,Panchkula,30.700897142857134,76.97173238095236,872.98,72.21
70,1128350,598703,529647,818025,12899,Haryana,Ambala,30.3503672316384,76.94970310734456,884.66,72.5
72,964655,510976,453679,646893,7356,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,887.87,67.06
73,1074304,571003,503301,646529,3724,Haryana,Kaithal,29.96068539094649,76.37698930041155,881.43,60.18
74,1505324,797712,707612,978013,11163,Haryana,Karnal,29.703200647249204,76.87488025889972,887.05,64.97
75,1205437,646857,558580,786599,10024,Haryana,Panipat,29.34352134146342,76.92895914634147,863.53,65.25
77,1334152,713006,621146,832758,5263,Haryana,Jind,29.45149821958457,76.29598575667653,871.17,62.42
78,942011,495360,446651,557578,3210,Haryana,Fatehabad,29.57298318584072,75.54608716814157,901.67,59.19
79,1295189,682582,612607,782897,6287,Haryana,Sirsa,29.63583446327684,74.90970480225988,897.48,60.45
80,1743931,931562,812369,1114311,10132,Haryana,Hisar,29.23628731117825,75.84324682779452,872.05,63.9
81,1634445,866672,767773,1069871,5292,Haryana,Bhiwani,28.728868064516128,76.02110225806452,885.89,65.46
82,1061204,568479,492725,747582,8482,Haryana,Rohtak,28.892517647058817,76.53123235294117,866.74,70.45
83,958405,514667,443738,676091,5034,Haryana,Jhajjar,28.59651868131869,76.61137142857145,862.18,70.54
84,922088,486665,435423,630255,2624,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,894.71,68.35
85,900332,474335,425997,636947,5121,Haryana,Rewari,28.19164714828897,76.55956007604564,898.09,70.75
86,1514432,816690,697742,1111116,67087,Haryana,Gurgaon,28.043894789579163,77.01935130260523,854.35,73.37
88,1809733,966110,843623,1272739,43437,Haryana,Faridabad,28.14873109756098,77.32718536585368,873.22,70.33
93,1709346,907500,801846,1352998,80037,Sikkim,East,27.29600352941175,88.74908392156858,883.58,79.15
